iter	Logloss
0	0.6565664415
1	0.6230336872
2	0.5942394026
3	0.5664890578
4	0.5411709126
5	0.5184014747
6	0.4978268962
7	0.4777485322
8	0.4603246868
9	0.4435577915
10	0.4288539771
11	0.4149745356
12	0.4024537626
13	0.3909049431
14	0.3792425718
15	0.3700251365
16	0.3600018612
17	0.3515117882
18	0.3438029147
19	0.336340057
20	0.3290214546
21	0.3227054427
22	0.3163390773
23	0.3113958268
24	0.3064992567
25	0.3015297409
26	0.2975232827
27	0.293638503
28	0.2904474996
29	0.2868778814
30	0.2837319919
31	0.2807732841
32	0.2781330363
33	0.2755699325
34	0.2731082014
35	0.2706728042
36	0.2686618288
37	0.2668197556
38	0.2649048213
39	0.2629059267
40	0.261263369
41	0.2599177919
42	0.2584185827
43	0.2569584289
44	0.2559268606
45	0.2550358842
46	0.2537892827
47	0.2527687736
48	0.25185624
49	0.2508459912
50	0.2501718719
51	0.2495023342
52	0.2487896174
53	0.2479512084
54	0.2473276749
55	0.2466368534
56	0.2460616203
57	0.2454274041
58	0.2449189545
59	0.2442936009
60	0.2437789919
61	0.24328857
62	0.2428880872
63	0.2425054423
64	0.2421514915
65	0.2418237263
66	0.2414270099
67	0.2410538808
68	0.2407757375
69	0.2404610325
70	0.2402103916
71	0.2398792132
72	0.2396455634
73	0.239405497
74	0.2391918969
75	0.2389438237
76	0.2387404097
77	0.2385742525
78	0.2384336844
79	0.2382891929
80	0.238143962
81	0.2379848361
82	0.2377999086
83	0.2376567176
84	0.2375519337
85	0.2374102357
86	0.2372460407
87	0.237155441
88	0.2370512962
89	0.2369127952
90	0.2367570527
91	0.2366490935
92	0.236526315
93	0.2364139487
94	0.2362995544
95	0.23623918
96	0.236148174
97	0.236072792
98	0.2359733036
99	0.2358625287
100	0.2357692034
101	0.2356745944
102	0.2356097496
103	0.2355378761
104	0.2354581167
105	0.2353753941
106	0.2352950933
107	0.2352091445
108	0.2351320971
109	0.2350472662
110	0.2350195212
111	0.2349741203
112	0.2349058549
113	0.2348249591
114	0.2347817997
115	0.2347303286
116	0.2346679427
117	0.234600265
118	0.2345241093
119	0.2344785895
120	0.2344224288
121	0.2343739731
122	0.2343221165
123	0.2342846666
124	0.2342373379
125	0.2341746463
