iter	Passed	Remaining
0	13	10473
1	26	10619
2	39	10545
3	52	10495
4	68	10949
5	81	10777
6	93	10597
7	105	10435
8	117	10329
9	130	10338
10	143	10274
11	155	10180
12	167	10131
13	180	10136
14	194	10164
15	206	10095
16	219	10115
17	230	10023
18	243	10013
19	255	9977
20	269	9990
21	284	10055
22	301	10195
23	313	10137
24	328	10177
25	344	10244
26	359	10293
27	375	10360
28	391	10407
29	407	10448
30	422	10473
31	436	10483
32	451	10495
33	465	10489
34	477	10428
35	490	10400
36	502	10366
37	515	10330
38	530	10355
39	544	10336
40	556	10310
41	569	10282
42	582	10256
43	597	10269
44	612	10279
45	629	10316
46	647	10369
47	666	10445
48	683	10479
49	700	10513
50	718	10552
51	737	10604
52	756	10658
53	773	10681
54	790	10702
55	803	10679
56	818	10664
57	832	10653
58	845	10623
59	860	10608
60	874	10598
61	891	10607
62	907	10611
63	922	10604
64	936	10594
65	953	10601
66	967	10579
67	980	10557
68	995	10541
69	1011	10543
70	1025	10529
71	1040	10524
72	1056	10522
73	1071	10512
74	1086	10499
75	1099	10477
76	1135	10659
77	1159	10728
78	1183	10798
79	1198	10784
80	1221	10842
81	1235	10814
82	1249	10795
83	1262	10764
84	1275	10729
85	1289	10709
86	1304	10690
87	1317	10662
88	1331	10637
89	1345	10616
90	1359	10593
91	1373	10566
92	1385	10533
93	1398	10505
94	1413	10491
95	1425	10456
96	1438	10422
97	1450	10390
98	1463	10365
99	1477	10342
100	1489	10306
101	1502	10284
102	1515	10254
103	1529	10235
104	1543	10215
105	1556	10188
106	1568	10161
107	1582	10138
108	1595	10117
109	1609	10099
110	1622	10072
111	1636	10052
112	1650	10036
113	1665	10020
114	1678	9997
115	1691	9975
116	1704	9950
117	1718	9929
118	1731	9910
119	1744	9886
120	1756	9859
121	1771	9843
122	1784	9822
123	1797	9796
124	1809	9771
125	1822	9748
126	1834	9721
127	1847	9698
128	1860	9675
129	1872	9653
130	1885	9631
131	1898	9607
132	1911	9585
133	1924	9565
134	1937	9542
135	1949	9519
136	1963	9502
137	1976	9482
138	1989	9459
139	2002	9441
140	2015	9418
141	2028	9398
142	2040	9375
143	2054	9357
144	2066	9335
145	2079	9314
146	2091	9290
147	2103	9267
148	2117	9250
149	2129	9229
150	2143	9210
151	2155	9191
152	2168	9171
153	2181	9149
154	2194	9132
155	2207	9111
156	2221	9096
157	2235	9084
158	2249	9069
159	2262	9051
160	2275	9032
161	2289	9016
162	2302	8998
163	2314	8977
164	2328	8961
165	2342	8946
166	2355	8927
167	2368	8908
168	2380	8889
169	2393	8869
170	2406	8851
171	2420	8836
172	2432	8817
173	2447	8805
174	2468	8814
175	2485	8812
176	2501	8804
177	2515	8791
178	2531	8781
179	2544	8764
180	2557	8745
181	2571	8732
182	2584	8712
183	2596	8692
184	2608	8672
185	2621	8654
186	2636	8642
187	2649	8623
188	2661	8603
189	2673	8582
190	2688	8572
191	2702	8558
192	2714	8538
193	2728	8522
194	2740	8501
195	2751	8478
196	2763	8459
197	2775	8437
198	2787	8418
199	2803	8409
200	2816	8394
201	2829	8376
202	2841	8356
203	2853	8338
204	2866	8320
205	2879	8303
206	2893	8287
207	2905	8270
208	2920	8258
209	2933	8241
210	2946	8225
211	2960	8210
212	2972	8191
213	2984	8173
214	2998	8159
215	3013	8146
216	3027	8134
217	3043	8125
218	3056	8108
219	3070	8094
220	3084	8082
221	3100	8071
222	3115	8059
223	3131	8051
224	3148	8045
225	3165	8040
226	3180	8027
227	3193	8012
228	3207	7997
229	3220	7980
230	3233	7964
231	3247	7949
232	3261	7935
233	3274	7920
234	3287	7903
235	3300	7887
236	3313	7871
237	3327	7856
238	3339	7839
239	3352	7821
240	3365	7805
